modified	id	cve	ghsa	cvss	fixed	summary
2025-01-24	GHSA-qvf5-hvjx-wm27	CVE-2024-52317	GHSA-qvf5-hvjx-wm27	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N	9.0.96, 10.1.31, 11.0.0	Apache Tomcat Request and/or response mix-up
2024-11-29	GHSA-jx6h-3fjx-cgv5	CVE-2018-1305	GHSA-jx6h-3fjx-cgv5	CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N	7.0.85, 8.5.28, 9.0.5	Apache Tomcat information exposure vulnerability
2024-11-29	GHSA-6rxj-58jh-436r	CVE-2018-1304	GHSA-6rxj-58jh-436r	CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N	7.0.86, 8.0.51, 8.5.28, 9.0.5	Apache Tomcat unauthorized access vulnerability
2024-11-28	GHSA-wf5v-jhxj-q632	CVE-2014-0095	GHSA-wf5v-jhxj-q632		8.0.4	Denial of service in Apache Tomcat
2024-10-21	GHSA-46j3-r4pj-4835	CVE-2018-8034	GHSA-46j3-r4pj-4835	CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	7.0.90, 8.0.53, 8.5.32, 9.0.10	The host name verification missing in Apache Tomcat
2024-04-24	GHSA-mppv-79ch-vw6q	CVE-2023-34981	GHSA-mppv-79ch-vw6q	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	9.0.75, 10.1.9, 11.0.0-M6	Apache Tomcat vulnerable to information leak
2024-04-23	GHSA-rq2w-37h9-vg94	CVE-2022-45143	GHSA-rq2w-37h9-vg94	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N	8.5.84, 9.0.69, 10.1.2	Apache Tomcat improperly escapes input from JsonErrorReportValve
2024-04-23	GHSA-p22x-g9px-3945	CVE-2022-42252	GHSA-p22x-g9px-3945	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N	8.5.83, 9.0.68, 10.0.27, 10.1.1	Apache Tomcat may reject request containing invalid Content-Length header
2024-04-18	GHSA-9hg2-395j-83rm	CVE-2017-5651	GHSA-9hg2-395j-83rm	CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	8.5.13, 9.0.0.M19	Expected Behavior Violation in Apache Tomcat
2024-04-18	GHSA-3vx3-xf6q-r5xp	CVE-2017-5648	GHSA-3vx3-xf6q-r5xp	CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N	7.0.76, 8.0.42, 8.5.13, 9.0.0.M18	Exposure of Resource to Wrong Sphere in Apache Tomcat
2024-03-16	GHSA-qcxh-w3j9-58qr	CVE-2019-0199	GHSA-qcxh-w3j9-58qr	CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	8.5.38, 9.0.16	Apache Tomcat Denial of Service vulnerability
2024-03-16	GHSA-8vmx-qmch-mpqg	CVE-2019-0232	GHSA-8vmx-qmch-mpqg	CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H	7.0.94, 8.5.40, 9.0.17	Apache Tomcat OS Command Injection vulnerability
2024-03-12	GHSA-r4x2-3cq5-hqvp	CVE-2018-8014	GHSA-r4x2-3cq5-hqvp	CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H	7.0.88, 8.0.53, 8.5.32, 9.0.9	The defaults settings for the CORS filter provided in Apache Tomcat are insecure and enable 'supportsCredentials' for all origins
2024-03-12	GHSA-m59c-jpc8-m2x4	CVE-2018-1336	GHSA-m59c-jpc8-m2x4	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	7.0.87, 8.0.51, 8.5.31, 9.0.8	In Apache Tomcat there is an improper handing of overflow in the UTF-8 decoder 
2024-03-11	GHSA-q4hg-rmq2-52q9	CVE-2019-10072	GHSA-q4hg-rmq2-52q9	CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	8.5.41, 9.0.20	Improper Locking in Apache Tomcat
2024-03-11	GHSA-jjpq-gp5q-8q6w	CVE-2019-0221	GHSA-jjpq-gp5q-8q6w	CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N	7.0.94, 8.5.40, 9.0.17	Cross-site scripting in Apache Tomcat
2024-03-11	GHSA-6v52-mj5r-7j2m	CVE-2018-8037	GHSA-6v52-mj5r-7j2m	CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N	8.5.32, 9.0.10	Apache Tomcat Race Condition vulnerability
2024-03-11	GHSA-5q99-f34m-67gc	CVE-2018-11784	GHSA-5q99-f34m-67gc	CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N	7.0.91, 8.5.34, 9.0.12	Apache Tomcat Open Redirect vulnerability
2024-02-21	GHSA-767j-jfh2-jvrc	CVE-2019-17569	GHSA-767j-jfh2-jvrc	CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N	7.0.100, 8.5.51, 9.0.31	Potential HTTP request smuggling in Apache Tomcat
